ACID		- ACID (позывной ВС)
CODE		- код ВОРЛ в режиме ICAO RBS или рег. номер в режиме УВД
COPin		- пункт входа в зону ответственности
SID		- стандартный маршрут выхода для вылетающих ВС (или номер ВПП, если SID не существует)
COPin_SID	- COPin или SID
ETOin		- расчетное время входа
ETO_ATOin	- расчетное время входа, переходит в фактическое время пролета пунтка COPin
ETD		- расчетное время вылета, изменяется на фактическое время взлета
ETO_ATO_ETD	- тоже самое, что ETO_ATOin или ETD
PEL		- согласованный эшелон входа
PEL_CFL		- отображает PEL, переходит в CFL после прохождения COPin
COPout		- пункт выхода из зоны ответственности
STAR		- стандартный маршрут прибытия (отображает информацию о ВПП, или номер ВПП, если STAR не существует)
COPout_STAR	- отображает COPout или STAR
ETOout		- расчетное время выхода
ETO_ATOout	- расчетное время выхода, переходит в фактическое время пролета пунтка COPout
ETO_ATO_ATA	- ETO_ATOout или расчетное время прибытия, заменяется на фактическое время прибытия после посадки или передачи управления
RFL_TFL		- эшелон полета из системного плана, переходит в TFL-согласованный эшелон входа в следующий сектор после принятия на управление
Type		- тип ВС
Wct		- категория ВС по турбулентности
Stand		- номер стоянки
REM		- предупреждения
RVSM		- наличие спец. оборудования ("NON" или "STS/NON")
Type_AC		- тип ВС
ADEP		- аэропорт вылета
DEST		- аэропорт назначения
ALTN		- запасные аэродромы
